Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1,MI,Consumer Cyclical,Internet Retail,NYSE ARCA,1465.45,99,99,0,79,9.34,3614915.161886215,230985.0,0.0023999999,-52.92,33670,13573,21796,0.182
2,CCG,Communication Services,Internet Content & Information,NASDAQ,1410.31,99,5,23,24,12.3,51473368.21587765,83021561.0,0.0028,698.7,74468,150899,152403,-0.156
3,ASBP,Healthcare,Biotechnology,NASDAQ,1387.01,99,99,0,0,7.26,7110834.363544464,1295234.0,0.0591,-79.26,63219,529156,481261,
4,MGRT,Technology,Information Technology Services,NASDAQ,1208.16,99,99,99,90,100.0,1140975046.157837,13750000.0,0.0149,-41.18,12600,11720,13968,3.088
5,DUKR,Industrials,Aerospace & Defense,NASDAQ,1116.2,99,99,99,86,5.45,25559827.5,3407977.0,0.02,-61.62,22485,38025,49209,
6,QMMM,Communication Services,Advertising Agencies,NASDAQ,1034.95,99,99,99,99,119.4,6830437441.489952,57206343.0,0.103,-60.59,0,0,0,-0.401
7,SNDK,Technology,Computer Hardware,S&P 500,1007.78,99,99,99,99,1610.33,251009175122.4619,148089758.0,0.0963,-5.76,14106160,12750110,12303814,2.51
8,BANL,Energy,Oil & Gas Midstream,NASDAQ,954.08,99,7,34,7,5.02,10155816.370882988,27448152.0,0.0403,387.38,291470,212723,213390,-0.133
9,PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,945.59,99,8,25,22,7.63,43639079.28356445,108825636.0,0.0374,505.56,231720,252503,307086,-0.081
10,FFAI,Consumer Cyclical,Auto Manufacturers,NASDAQ,800.12,99,6,3,14,6.49,110621106.89785177,303904146.0,0.1693,79.78,49977761,27265687,22239786,0.62
11,DKI,Communication Services,Electronic Gaming & Multimedia,NASDAQ,702.47,99,99,15,2,4.46,12256978.798121452,2077454.0,0.028299998,-70.27,7841,40153,80254,-0.025
12,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,614.04,99,99,99,99,47.23,6749055901.026855,65423184.0,0.1319,-67.01,7846272,9222664,9047990,0.391
13,INHD,Basic Materials,Steel,NASDAQ,528.45,99,55,0,0,39.49,5741286.3737745285,4520698.0,0.061100002,-99.48,0,0,5614958,0.949
14,BVC,Technology,Software - Application,NASDAQ,488.4,99,99,99,99,10.47,1631280006.4086914,168000000.0,0.0005,-30.21,25354,15541,24828,
15,ERAS,Healthcare,Biotechnology,NASDAQ,427.63,99,99,99,99,19.11,3993041566.7324753,310984542.0,0.113299996,-21.29,5396116,5631408,5388959,
16,ANL,Healthcare,Biotechnology,NASDAQ,413.5,99,99,99,99,12.5,768911352.6975498,64397938.0,0.052800003,-27.54,265896,210588,181713,1.781
17,MXL,Technology,Semiconductors,S&P 600,387.56,99,99,99,81,91.24,8321505997.197258,89545959.0,0.047,-14.15,3763480,3744913,4305716,0.43
18,MU,Technology,Semiconductors,S&P 500,377.01,99,99,99,99,990.21,1095029763521.0,1127734051.0,0.0313,0.94,42184210,50632620,52811600,1.963
19,CLYM,Healthcare,Biotechnology,NASDAQ,372.27,99,99,99,98,12.84,627575334.2643156,57260523.0,0.051599998,2.88,1015638,1384406,1260845,
20,QTTB,Healthcare,Biotechnology,NASDAQ,371.78,99,99,96,92,15.38,187368388.9841795,16956415.0,0.0777,16.96,4879010,1879063,1770674,
21,SLS,Healthcare,Biotechnology,NASDAQ,362.15,99,99,97,97,11.32,1731963342.0023746,186032574.0,0.3081,19.03,6842640,9839080,10726348,
22,DBGI,Consumer Cyclical,Apparel Retail,NASDAQ,360.69,99,1,1,91,12.9,11125010.011717975,22985558.0,0.054899998,-28.33,708224,1852881,6408220,-0.297
23,DFNS,Industrials,Aerospace & Defense,NASDAQ,359.63,99,0,1,3,4.35,26820383.193911612,60270525.0,0.1344,-74.83,28660809,34858939,22901765,
24,EVC,Communication Services,Advertising Agencies,NYSE,357.99,99,99,92,89,10.68,835715747.3779678,92039180.0,0.056900002,5.53,1410698,1869892,2371667,1.144
25,OPAD,Real Estate,Real Estate Services,NYSE,328.33,99,99,11,11,4.45,36245474.1119141,47317853.0,0.1342,-29.92,42660,62046,282789,-0.502
26,LITE,Technology,Communication Equipment,S&P 500,323.12,99,99,99,99,833.64,66515889709.47266,77800000.0,0.1302,-23.21,4116550,4861153,5373402,0.901
27,AGL,Healthcare,Medical Care Facilities,NYSE,321.1,99,99,36,10,98.0,1539579751.7140503,16683786.0,0.0614,3.47,341977,329225,322153,-0.073
28,ATEX,Communication Services,Telecom Services,NASDAQ,317.88,99,98,95,64,94.0,1199279490.8949356,18732889.0,0.1478,41.8,354365,541505,479479,0.004
29,ALMS,Healthcare,Biotechnology,NASDAQ,309.89,99,99,99,99,28.0,2753826816.6343307,127491980.0,0.1585,-8.5,1115278,1635809,1398455,-0.9
30,BAND,Technology,Software - Infrastructure,NASDAQ,307.27,99,98,93,30,59.8,2080164474.8736267,32017307.0,0.0315,-8.17,948594,1462478,1327130,0.198
31,WDC,Technology,Computer Hardware,S&P 500,305.65,99,99,99,99,519.8,183098602382.09198,344682131.0,0.097399995,-6.09,6901700,9400223,8247464,0.455
32,SYRE,Healthcare,Biotechnology,NASDAQ,303.33,99,99,98,91,102.13,6382832095.5,86841253.0,0.1531,29.61,1136690,1608900,1370456,
33,STTK,Healthcare,Biotechnology,NASDAQ,300.47,99,97,99,98,7.43,456249061.5243521,76680517.0,0.018,-10.8,1569030,1687153,1386206,
34,SIF,Industrials,Aerospace & Defense,NYSE ARCA,292.42,99,98,99,87,24.93,126771177.4229126,6254128.0,0.0167,10.8,93760,122813,108880,0.39
35,LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,S&P 600,288.46,99,98,91,97,89.03,5501092258.417404,88928099.0,0.1426,40.29,1496500,2181973,2060460,41.585
36,CHRN,Technology,Information Technology Services,NASDAQ,286.6,99,99,95,90,21.5,2627194562.4972687,143093381.0,0.84,3.86,381375,390221,396811,
37,MAAS,Financial Services,Asset Management,NASDAQ,285.4,99,99,93,70,16.76,5257467774.228937,442175578.0,0.0008,-19.77,133280,156063,108078,
38,FBRX,Healthcare,Biotechnology,NASDAQ,284.63,99,46,96,98,54.78,390531033.940361,20478817.0,0.0592,53.02,681582,766557,563058,
39,NUAI,Technology,Software - Infrastructure,NASDAQ,280.72,99,99,98,99,5.32,483157724.62802887,101290928.0,0.073699996,-43.67,8719740,9380956,8670294,1.458
40,ANTX,Healthcare,Biotechnology,NASDAQ,278.83,99,98,99,32,4.92,155949974.38218498,36016161.0,0.0278,-28.8,180551,369467,311862,
41,ANRO,Healthcare,Biotechnology,NYSE,277.55,99,99,99,99,26.78,704335365.0901794,35093940.0,0.054899998,-5.84,640774,646228,533908,
42,ORKA,Healthcare,Biotechnology,NASDAQ,275.17,99,99,99,97,91.95,3530067197.90683,60312101.0,0.158,1.04,963290,1559650,1433794,
43,STX,Technology,Computer Hardware,S&P 500,274.99,99,99,99,98,851.69,199056608894.93335,226252116.0,0.0476,-5.93,5183390,5140060,4350316,0.441
44,RXT,Technology,Software - Infrastructure,NASDAQ,274.17,99,99,87,5,4.02,1288480338.8441677,249222499.0,0.203,-47.45,15211790,21311596,22603266,0.019
45,DMRA,Healthcare,Biotechnology,NASDAQ,270.93,99,98,99,99,28.82,1531443415.0625038,61553194.0,0.024500001,-24.8,468354,803941,628588,
46,BW,Industrials,Specialty Industrial Machinery,NYSE,266.64,99,99,99,99,9.62,2746089460.5055504,148839531.0,0.0955,-56.33,3016277,3911529,3897827,0.443
47,MBX,Healthcare,Biotechnology,NASDAQ,265.69,99,97,92,97,62.0,1497894425.2373657,47597536.0,0.1263,35.22,791810,1055373,874004,
48,RLYB,Healthcare,Biotechnology,NASDAQ,264.97,99,98,97,80,16.39,76611061.22210789,5298137.0,0.1314,2.44,58780,48163,60604,0.0
49,DELL,Technology,Computer Hardware,S&P 500,261.76,99,98,93,31,437.5,273409790059.9601,649568287.0,0.0708,1.95,6510501,7478097,9281254,0.875
50,DFTX,Healthcare,Biotechnology,NASDAQ,261.38,99,99,95,94,43.17,2638325539.0179462,109066783.0,0.0855,64.46,1542312,3746304,3082384,
51,SLGL,Healthcare,Biotechnology,NASDAQ,252.39,99,98,99,99,80.55,241447677.25523376,3268991.0,0.024300002,-17.78,47940,35573,36338,1.504
52,SIMO,Technology,Semiconductors,NASDAQ,252.13,99,99,95,92,289.08,9388062110.8844,33907835.0,0.0214,-2.0,656280,796810,926468,1.055
53,ADVB,Healthcare,Diagnostics & Research,NASDAQ,247.94,99,20,10,5,18.98,8189025.734115601,1634536.0,0.0037,-12.94,10369786,3474568,2096453,
54,PIII,Healthcare,Medical Care Facilities,NASDAQ,247.31,99,97,19,2,9.62,40508951.45497131,3325858.0,0.1117,-43.04,16420,30453,1595876,0.038
55,TSEM,Technology,Semiconductors,NASDAQ,247.26,99,98,98,97,260.42,30268033000.703705,118591206.0,0.0295,-14.01,1933960,1843623,2047042,0.155
56,ICHR,Technology,Semiconductor Equipment & Materials,S&P 600,246.36,99,99,98,83,86.55,2493691513.5136185,34867053.0,0.053000003,10.96,815053,1187877,1156976,0.047
57,TXG,Healthcare,Health Information Services,NASDAQ,246.07,99,96,89,92,46.27,3593494968.388954,126956189.0,0.2591,60.33,3169280,3338206,3250778,-0.026
58,OTLK,Healthcare,Biotechnology,NASDAQ,245.25,99,99,4,3,1.32,108468599.70407438,148587119.0,0.0752,-61.06,8448410,14055770,23137788,
59,BBGI,Communication Services,Broadcasting,NASDAQ,244.51,99,99,99,32,20.52,26913973.610948563,1806307.0,0.0908,-22.18,34233,34777,33396,-0.129
60,VPG,Technology,Scientific & Technical Instruments,NYSE,240.73,99,99,94,92,110.54,1666748277.5268555,13301000.0,0.0748,-16.05,381980,557363,637982,0.176
61,REPL,Healthcare,Biotechnology,NASDAQ,240.37,98,90,6,17,10.46,717556024.4611502,82572619.0,0.5135,-21.0,3106440,3122036,5243140,
